date,new_cases,total_cases,new_deaths,total_deaths
2021-10-12,0,671,0,4
2021-10-11,5,671,0,4
2021-10-10,0,666,0,4
2021-10-09,0,666,0,4
2021-10-08,2,666,0,4
2021-10-07,0,664,0,4
2021-10-06,0,664,0,4
2021-10-05,0,664,0,4
2021-10-04,0,664,0,4
2021-10-03,0,664,0,4
2021-10-02,0,664,0,4
2021-10-01,0,664,0,4
2021-09-30,0,664,0,4
2021-09-29,1,664,0,4
2021-09-28,0,663,0,4
2021-09-27,0,663,0,4
2021-09-26,0,663,0,4
2021-09-25,0,663,0,4
2021-09-24,0,663,0,4
2021-09-23,2,663,0,4
2021-09-22,0,661,0,4
2021-09-21,0,661,0,4
2021-09-20,2,661,0,4
2021-09-19,0,659,0,4
2021-09-18,0,659,0,4
2021-09-17,0,659,0,4
2021-09-16,0,659,0,4
2021-09-15,0,659,0,4
2021-09-14,0,659,0,4
2021-09-13,1,659,0,4
2021-09-12,0,658,0,4
2021-09-11,0,658,0,4
2021-09-10,0,658,0,4
2021-09-09,0,658,0,4
2021-09-08,0,658,0,4
2021-09-07,0,658,0,4
2021-09-06,0,658,0,4
2021-09-05,0,658,0,4
2021-09-04,0,658,0,4
2021-09-03,1,658,0,4
2021-09-02,0,657,0,4
2021-09-01,0,657,0,4
2021-08-31,0,657,0,4
2021-08-30,0,657,0,4
2021-08-29,0,657,0,4
2021-08-28,0,657,0,4
2021-08-27,0,657,0,4
2021-08-26,0,657,0,4
2021-08-25,0,657,0,4
2021-08-24,0,657,0,4
2021-08-23,0,657,0,4
2021-08-22,0,657,0,4
2021-08-21,0,657,0,4
2021-08-20,0,657,0,4
2021-08-19,0,657,0,4
2021-08-18,0,657,0,4
2021-08-17,0,657,0,4
2021-08-16,0,657,0,4
2021-08-15,0,657,0,4
2021-08-14,0,657,0,4
2021-08-13,0,657,0,4
2021-08-12,0,657,0,4
2021-08-11,0,657,0,4
2021-08-10,0,657,0,4
2021-08-09,0,657,0,4
2021-08-08,0,657,0,4
2021-08-07,0,657,0,4
2021-08-06,0,657,0,4
2021-08-05,0,657,0,4
2021-08-04,0,657,0,4
2021-08-03,0,657,0,4
2021-08-02,0,657,0,4
2021-08-01,0,657,0,4
2021-07-31,0,657,0,4
2021-07-30,0,657,0,4
2021-07-29,0,657,0,4
2021-07-28,0,657,0,4
2021-07-27,0,657,0,4
2021-07-26,0,657,0,4
2021-07-25,0,657,0,4
2021-07-24,0,657,0,4
2021-07-23,0,657,0,4
2021-07-22,0,657,0,4
2021-07-21,0,657,0,4
2021-07-20,0,657,0,4
2021-07-19,0,657,0,4
2021-07-18,0,657,0,4
2021-07-17,0,657,0,4
2021-07-16,0,657,0,4
2021-07-15,0,657,0,4
2021-07-14,0,657,0,4
2021-07-13,0,657,0,4
2021-07-12,0,657,0,4
2021-07-11,0,657,0,4
2021-07-10,0,657,0,4
2021-07-09,0,657,0,4
2021-07-08,0,657,0,4
2021-07-07,0,657,0,4
2021-07-06,0,657,0,4
2021-07-05,0,657,0,4
2021-07-04,0,657,0,4
2021-07-03,0,657,0,4
2021-07-02,0,657,0,4
2021-07-01,0,657,0,4
