date,state,cases,deaths,new_cases,new_deaths,population,pop_density,daily_rate,%_infected
2020-07-09,South Dakota,7336,101,94,3,882235,11.64,10.65,0.83
2020-07-08,South Dakota,7242,98,79,0,882235,11.64,8.95,0.82
2020-07-07,South Dakota,7163,98,58,1,882235,11.64,6.57,0.81
2020-07-06,South Dakota,7105,97,42,0,882235,11.64,4.76,0.81
2020-07-05,South Dakota,7063,97,35,0,882235,11.64,3.97,0.8
2020-07-04,South Dakota,7028,97,50,0,882235,11.64,5.67,0.8
2020-07-03,South Dakota,6978,97,85,0,882235,11.64,9.63,0.79
2020-07-02,South Dakota,6893,97,67,4,882235,11.64,7.59,0.78
2020-07-01,South Dakota,6826,93,62,2,882235,11.64,7.03,0.77
2020-06-30,South Dakota,6764,91,48,0,882235,11.64,5.44,0.77
2020-06-29,South Dakota,6716,91,35,0,882235,11.64,3.97,0.76
2020-06-28,South Dakota,6681,91,55,0,882235,11.64,6.23,0.76
2020-06-27,South Dakota,6626,91,91,3,882235,11.64,10.31,0.75
2020-06-26,South Dakota,6535,88,56,1,882235,11.64,6.35,0.74
2020-06-25,South Dakota,6479,87,60,3,882235,11.64,6.8,0.73
2020-06-24,South Dakota,6419,84,66,1,882235,11.64,7.48,0.73
2020-06-23,South Dakota,6353,83,27,2,882235,11.64,3.06,0.72
2020-06-22,South Dakota,6326,81,29,0,882235,11.64,3.29,0.72
2020-06-21,South Dakota,6297,81,72,0,882235,11.64,8.16,0.71
2020-06-20,South Dakota,6225,81,67,0,882235,11.64,7.59,0.71
2020-06-19,South Dakota,6158,81,49,3,882235,11.64,5.55,0.7
2020-06-18,South Dakota,6109,78,59,0,882235,11.64,6.69,0.69
2020-06-17,South Dakota,6050,78,84,1,882235,11.64,9.52,0.69
2020-06-16,South Dakota,5966,77,38,2,882235,11.64,4.31,0.68
2020-06-15,South Dakota,5928,75,30,0,882235,11.64,3.4,0.67
2020-06-14,South Dakota,5898,75,65,0,882235,11.64,7.37,0.67
2020-06-13,South Dakota,5833,75,91,1,882235,11.64,10.31,0.66
2020-06-12,South Dakota,5742,74,77,1,882235,11.64,8.73,0.65
2020-06-11,South Dakota,5665,73,61,4,882235,11.64,6.91,0.64
2020-06-10,South Dakota,5604,69,81,1,882235,11.64,9.18,0.64
2020-06-09,South Dakota,5523,68,52,3,882235,11.64,5.89,0.63
2020-06-08,South Dakota,5471,65,33,0,882235,11.64,3.74,0.62
2020-06-07,South Dakota,5438,65,71,0,882235,11.64,8.05,0.62
2020-06-06,South Dakota,5367,65,90,0,882235,11.64,10.2,0.61
2020-06-05,South Dakota,5277,65,30,1,882235,11.64,3.4,0.6
2020-06-04,South Dakota,5247,64,86,2,882235,11.64,9.75,0.59
2020-06-03,South Dakota,5161,62,95,0,882235,11.64,10.77,0.58
2020-06-02,South Dakota,5066,62,32,0,882235,11.64,3.63,0.57
2020-06-01,South Dakota,5034,62,41,0,882235,11.64,4.65,0.57
2020-05-31,South Dakota,4993,62,33,0,882235,11.64,3.74,0.57
2020-05-30,South Dakota,4960,62,94,3,882235,11.64,10.65,0.56
2020-05-29,South Dakota,4866,59,73,5,882235,11.64,8.27,0.55
2020-05-28,South Dakota,4793,54,83,0,882235,11.64,9.41,0.54
2020-05-27,South Dakota,4710,54,57,4,882235,11.64,6.46,0.53
2020-05-26,South Dakota,4653,50,67,0,882235,11.64,7.59,0.53
2020-05-25,South Dakota,4586,50,23,0,882235,11.64,2.61,0.52
2020-05-24,South Dakota,4563,50,95,0,882235,11.64,10.77,0.52
2020-05-23,South Dakota,4468,50,112,0,882235,11.64,12.7,0.51
2020-05-22,South Dakota,4356,50,179,3,882235,11.64,20.29,0.49
2020-05-21,South Dakota,4177,47,0,1,882235,11.64,0.0,0.47
2020-05-20,South Dakota,4177,46,92,0,882235,11.64,10.43,0.47
2020-05-19,South Dakota,4085,46,58,2,882235,11.64,6.57,0.46
2020-05-18,South Dakota,4027,44,40,0,882235,11.64,4.53,0.46
2020-05-17,South Dakota,3987,44,28,0,882235,11.64,3.17,0.45
2020-05-16,South Dakota,3959,44,72,0,882235,11.64,8.16,0.45
2020-05-15,South Dakota,3887,44,95,1,882235,11.64,10.77,0.44
2020-05-14,South Dakota,3792,43,60,4,882235,11.64,6.8,0.43
2020-05-13,South Dakota,3732,39,69,0,882235,11.64,7.82,0.42
2020-05-12,South Dakota,3663,39,49,5,882235,11.64,5.55,0.42
2020-05-11,South Dakota,3614,34,97,0,882235,11.64,10.99,0.41
2020-05-10,South Dakota,3517,34,124,0,882235,11.64,14.06,0.4
2020-05-09,South Dakota,3393,34,249,3,882235,11.64,28.22,0.38
2020-05-08,South Dakota,3144,31,239,0,882235,11.64,27.09,0.36
2020-05-07,South Dakota,2905,31,126,2,882235,11.64,14.28,0.33
2020-05-06,South Dakota,2779,29,59,5,882235,11.64,6.69,0.31
2020-05-05,South Dakota,2720,24,53,3,882235,11.64,6.01,0.31
2020-05-04,South Dakota,2667,21,37,0,882235,11.64,4.19,0.3
2020-05-03,South Dakota,2630,21,43,0,882235,11.64,4.87,0.3
2020-05-02,South Dakota,2587,21,62,0,882235,11.64,7.03,0.29
2020-05-01,South Dakota,2525,21,75,4,882235,11.64,8.5,0.29
2020-04-30,South Dakota,2450,17,75,4,882235,11.64,8.5,0.28
2020-04-29,South Dakota,2375,13,61,2,882235,11.64,6.91,0.27
2020-04-28,South Dakota,2314,11,68,0,882235,11.64,7.71,0.26
2020-04-27,South Dakota,2246,11,33,0,882235,11.64,3.74,0.25
2020-04-26,South Dakota,2213,11,66,1,882235,11.64,7.48,0.25
2020-04-25,South Dakota,2147,10,107,0,882235,11.64,12.13,0.24
2020-04-24,South Dakota,2040,10,84,1,882235,11.64,9.52,0.23
2020-04-23,South Dakota,1956,9,98,0,882235,11.64,11.11,0.22
2020-04-22,South Dakota,1858,9,103,1,882235,11.64,11.67,0.21
2020-04-21,South Dakota,1755,8,70,1,882235,11.64,7.93,0.2
2020-04-20,South Dakota,1685,7,50,0,882235,11.64,5.67,0.19
2020-04-19,South Dakota,1635,7,94,0,882235,11.64,10.65,0.19
2020-04-18,South Dakota,1541,7,130,0,882235,11.64,14.74,0.17
2020-04-17,South Dakota,1411,7,100,0,882235,11.64,11.33,0.16
2020-04-16,South Dakota,1311,7,143,1,882235,11.64,16.21,0.15
2020-04-15,South Dakota,1168,6,181,0,882235,11.64,20.52,0.13
2020-04-14,South Dakota,987,6,120,0,882235,11.64,13.6,0.11
2020-04-13,South Dakota,867,6,138,0,882235,11.64,15.64,0.1
2020-04-12,South Dakota,729,6,103,0,882235,11.64,11.67,0.08
2020-04-11,South Dakota,626,6,90,0,882235,11.64,10.2,0.07
2020-04-10,South Dakota,536,6,89,0,882235,11.64,10.09,0.06
2020-04-09,South Dakota,447,6,54,0,882235,11.64,6.12,0.05
2020-04-08,South Dakota,393,6,73,0,882235,11.64,8.27,0.04
2020-04-07,South Dakota,320,6,32,2,882235,11.64,3.63,0.04
2020-04-06,South Dakota,288,4,48,2,882235,11.64,5.44,0.03
2020-04-05,South Dakota,240,2,28,0,882235,11.64,3.17,0.03
2020-04-04,South Dakota,212,2,25,0,882235,11.64,2.83,0.02
2020-04-03,South Dakota,187,2,22,0,882235,11.64,2.49,0.02
2020-04-02,South Dakota,165,2,36,1,882235,11.64,4.08,0.02
2020-04-01,South Dakota,129,1,22,0,882235,11.64,2.49,0.01
2020-03-31,South Dakota,107,1,7,0,882235,11.64,0.79,0.01
2020-03-30,South Dakota,100,1,10,0,882235,11.64,1.13,0.01
2020-03-29,South Dakota,90,1,22,0,882235,11.64,2.49,0.01
2020-03-28,South Dakota,68,1,10,0,882235,11.64,1.13,0.01
2020-03-27,South Dakota,58,1,12,0,882235,11.64,1.36,0.01
2020-03-26,South Dakota,46,1,5,0,882235,11.64,0.57,0.01
2020-03-25,South Dakota,41,1,11,0,882235,11.64,1.25,0.0
2020-03-24,South Dakota,30,1,2,0,882235,11.64,0.23,0.0
2020-03-23,South Dakota,28,1,7,0,882235,11.64,0.79,0.0
2020-03-22,South Dakota,21,1,7,0,882235,11.64,0.79,0.0
2020-03-21,South Dakota,14,1,0,0,882235,11.64,0.0,0.0
2020-03-20,South Dakota,14,1,0,0,882235,11.64,0.0,0.0
2020-03-19,South Dakota,14,1,3,0,882235,11.64,0.34,0.0
2020-03-18,South Dakota,11,1,0,0,882235,11.64,0.0,0.0
2020-03-17,South Dakota,11,1,1,0,882235,11.64,0.11,0.0
2020-03-16,South Dakota,10,1,1,0,882235,11.64,0.11,0.0
2020-03-15,South Dakota,9,1,0,0,882235,11.64,0.0,0.0
2020-03-14,South Dakota,9,1,0,0,882235,11.64,0.0,0.0
2020-03-13,South Dakota,9,1,1,0,882235,11.64,0.11,0.0
2020-03-12,South Dakota,8,1,0,0,882235,11.64,0.0,0.0
2020-03-11,South Dakota,8,1,3,0,882235,11.64,0.34,0.0
2020-03-10,South Dakota,5,1,0,0,882235,11.64,0.0,0.0
