Date,Country,New_Cases,Total_Cases,New_Deaths,Total_Deaths,New_Cases_Rate,New_Deaths_Rate,Total_Cases_Rate,Total_Deaths_Rate,Infected(%),CFR(%),Population,PopDensity (km2)
2020-01-22,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-01-23,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-01-24,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-01-25,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-01-26,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-01-27,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-01-28,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-01-29,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-01-30,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-01-31,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-02-01,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-02-02,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-02-03,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-02-04,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-02-05,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-02-06,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-02-07,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-02-08,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-02-09,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-02-10,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-02-11,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-02-12,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-02-13,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-02-14,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-02-15,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-02-16,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-02-17,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-02-18,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-02-19,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-02-20,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-02-21,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-02-22,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-02-23,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-02-24,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-02-25,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
2020-02-26,Zambia,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17861034,24.03
