date,county,state,total_cases,total_deaths,new_cases,new_deaths,population,pop_density,new_cases_10K,new_deaths_10K,%_infected,total_cases_10K,total_deaths_10K,CFR(%)
2020-07-10,Kimball,Nebraska,11,0,0,0,3618,3.8,0.0,0.0,0.3,30.4,0.0,0.0
2020-07-09,Kimball,Nebraska,11,0,0,0,3618,3.8,0.0,0.0,0.3,30.4,0.0,0.0
2020-07-08,Kimball,Nebraska,11,0,0,0,3618,3.8,0.0,0.0,0.3,30.4,0.0,0.0
2020-07-07,Kimball,Nebraska,11,0,0,0,3618,3.8,0.0,0.0,0.3,30.4,0.0,0.0
2020-07-06,Kimball,Nebraska,11,0,0,0,3618,3.8,0.0,0.0,0.3,30.4,0.0,0.0
2020-07-05,Kimball,Nebraska,11,0,0,0,3618,3.8,0.0,0.0,0.3,30.4,0.0,0.0
2020-07-04,Kimball,Nebraska,11,0,0,0,3618,3.8,0.0,0.0,0.3,30.4,0.0,0.0
2020-07-03,Kimball,Nebraska,11,0,1,0,3618,3.8,2.76,0.0,0.3,30.4,0.0,0.0
2020-07-02,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-07-01,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-06-30,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-06-29,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-06-28,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-06-27,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-06-26,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-06-25,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-06-24,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-06-23,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-06-22,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-06-21,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-06-20,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-06-19,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-06-18,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-06-17,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-06-16,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-06-15,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-06-14,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-06-13,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-06-12,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-06-11,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-06-10,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-06-09,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-06-08,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-06-07,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-06-06,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-06-05,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-06-04,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-06-03,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-06-02,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-06-01,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-05-31,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-05-30,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-05-29,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-05-28,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-05-27,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-05-26,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-05-25,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-05-24,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-05-23,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-05-22,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-05-21,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-05-20,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-05-19,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-05-18,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-05-17,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-05-16,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-05-15,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-05-14,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-05-13,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-05-12,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-05-11,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-05-10,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-05-09,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-05-08,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-05-07,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-05-06,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-05-05,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-05-04,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-05-03,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-05-02,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-05-01,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-04-30,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-04-29,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-04-28,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-04-27,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-04-26,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-04-25,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-04-24,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-04-23,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-04-22,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-04-21,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-04-20,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-04-19,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-04-18,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-04-17,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-04-16,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-04-15,Kimball,Nebraska,10,0,0,0,3618,3.8,0.0,0.0,0.28,27.64,0.0,0.0
2020-04-14,Kimball,Nebraska,10,0,1,0,3618,3.8,2.76,0.0,0.28,27.64,0.0,0.0
2020-04-13,Kimball,Nebraska,9,0,0,0,3618,3.8,0.0,0.0,0.25,24.88,0.0,0.0
2020-04-12,Kimball,Nebraska,9,0,0,0,3618,3.8,0.0,0.0,0.25,24.88,0.0,0.0
2020-04-11,Kimball,Nebraska,9,0,0,0,3618,3.8,0.0,0.0,0.25,24.88,0.0,0.0
2020-04-10,Kimball,Nebraska,9,0,0,0,3618,3.8,0.0,0.0,0.25,24.88,0.0,0.0
2020-04-09,Kimball,Nebraska,9,0,0,0,3618,3.8,0.0,0.0,0.25,24.88,0.0,0.0
2020-04-08,Kimball,Nebraska,9,0,0,0,3618,3.8,0.0,0.0,0.25,24.88,0.0,0.0
2020-04-07,Kimball,Nebraska,9,0,0,0,3618,3.8,0.0,0.0,0.25,24.88,0.0,0.0
2020-04-06,Kimball,Nebraska,9,0,4,0,3618,3.8,11.06,0.0,0.25,24.88,0.0,0.0
2020-04-05,Kimball,Nebraska,5,0,0,0,3618,3.8,0.0,0.0,0.14,13.82,0.0,0.0
2020-04-04,Kimball,Nebraska,5,0,0,0,3618,3.8,0.0,0.0,0.14,13.82,0.0,0.0
2020-04-03,Kimball,Nebraska,5,0,2,0,3618,3.8,5.53,0.0,0.14,13.82,0.0,0.0
2020-04-02,Kimball,Nebraska,3,0,2,0,3618,3.8,5.53,0.0,0.08,8.29,0.0,0.0
2020-04-01,Kimball,Nebraska,1,0,0,0,3618,3.8,0.0,0.0,0.03,2.76,0.0,0.0
2020-03-31,Kimball,Nebraska,1,0,0,0,3618,3.8,0.0,0.0,0.03,2.76,0.0,0.0
