Date,Country,New_Cases,Total_Cases,New_Deaths,Total_Deaths,New_Cases_Rate,New_Deaths_Rate,Total_Cases_Rate,Total_Deaths_Rate,Infected(%),CFR(%),Population,PopDensity (km2)
2020-01-22,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-01-23,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-01-24,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-01-25,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-01-26,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-01-27,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-01-28,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-01-29,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-01-30,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-01-31,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-02-01,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-02-02,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-02-03,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-02-04,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-02-05,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-02-06,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-02-07,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-02-08,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-02-09,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-02-10,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-02-11,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-02-12,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-02-13,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-02-14,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-02-15,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-02-16,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-02-17,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-02-18,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-02-19,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-02-20,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-02-21,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-02-22,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-02-23,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-02-24,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-02-25,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-02-26,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
2020-02-27,Bangladesh,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,163046173,1252.56
